Ordered, 15, 22578, 21294, 9714, 9423, 9922, 14586
Random, 15, 13092, 12837, 12961, 12830, 12956, 12935
Reverse, 15, 9699, 9635, 9502, 9573, 9428, 9567
Ordered, 16, 19876, 19856, 20048, 19917, 20109, 19961
Random, 16, 26493, 26222, 26267, 26224, 26288, 26298
Reverse, 16, 19886, 19925, 19679, 19359, 19745, 19718
Ordered, 17, 40924, 40557, 40794, 41037, 41273, 40917
Random, 17, 53844, 53380, 53459, 53315, 53809, 53561
Reverse, 17, 39861, 40755, 40314, 40248, 40660, 40367
Ordered, 18, 83958, 84080, 83539, 83637, 83774, 83797
Random, 18, 109577, 109197, 109800, 109473, 109295, 109468
Reverse, 18, 84580, 82975, 82785, 82735, 82165, 83048
Ordered, 19, 172148, 170711, 170650, 170573, 170936, 171003
Random, 19, 223250, 222785, 223489, 223872, 223092, 223297
Reverse, 19, 168728, 169296, 169530, 168427, 169509, 169098

Ordered, 15, 17806, 8673, 8083, 8168, 7963, 10138
Random, 15, 11419, 11243, 11197, 11182, 11188, 11245
Reverse, 15, 8061, 7915, 7962, 8026, 8104, 8013
Ordered, 16, 17577, 18106, 16862, 16936, 17043, 17304
Random, 16, 23505, 23390, 23089, 23294, 23276, 23310
Reverse, 16, 16964, 16428, 16647, 16648, 16588, 16655
Ordered, 17, 35439, 34658, 34464, 34648, 34525, 34746
Random, 17, 48487, 47484, 47502, 47255, 47697, 47685
Reverse, 17, 34351, 35015, 34462, 34224, 34199, 34450
Ordered, 18, 72878, 72602, 71756, 71281, 71321, 71967
Random, 18, 102202, 97981, 98301, 97777, 98770, 99006
Reverse, 18, 73650, 71638, 71141, 70707, 70526, 71532
Ordered, 19, 150690, 147935, 148225, 151267, 149240, 149471
Random, 19, 201047, 201865, 202278, 202059, 203189, 202087
Reverse, 19, 147832, 147753, 148200, 147757, 147262, 147760
